"ประทับเวลา","Name_TH","Name_Eng","Kind","RATE","Review","Mood","DATE_TIME","Weather","Temperature"
"2565/04/05 10:16:24 หลังเที่ยง GMT+7","กระเพรา","Kapao","4_Meat and Poultry","2","อร่อย","","","","25"
"2565/04/05 10:20:42 หลังเที่ยง GMT+7","ข้าวผัดกุ้ง","shrimp fried rice","4_Meat and Poultry","6","หัวหอมผัดไม่สุก แต่อร่อยดี","","","","35"
"2565/04/05 10:21:29 หลังเที่ยง GMT+7","โกโก้ร้อน","hot cocoa","6_Dairy Foods","10","อร่อยเข้ม หวานน้อย","","","","25"
"2565/04/05 10:22:23 หลังเที่ยง GMT+7","มะม่วง","mango","2_Fruits","6","หวาน สุก เละไปนิด","","","","34"
"2565/04/05 10:34:14 หลังเที่ยง GMT+7","โจ๊กหมูสับ","pork congee","9_Carbohydrates","6","อร่อย","","2022-05-04 08:00",""," 50"
"2565/04/05 11:16:13 หลังเที่ยง GMT+7","ปูผัดผงกะหรี่","Stir-fried crab in curry powder","5_Fish and Seafood","9","อร่อย หอมกลิ่นผงกะหรี่ มีความนุ่มของไข่ แต่กุ้งผัดสุกไปหน่อย","","2022-04-05 23:15","","27"
"2565/04/06 10:54:37 ก่อนเที่ยง GMT+7","สลัดผลไม้","fruit salad","2_Fruits","8","อร่อย มาก กินแล้วมีประโยชน์ต่อร่างกาย","","2022-04-05 18:30","","22"
"2565/04/06 10:56:05 ก่อนเที่ยง GMT+7","ข้าวผัดไข่","Egg Fried Rice","9_Carbohydrates","9","อร่อยถูกใจ มีไข่2ฟอง","","2022-04-06 08:12","","80"
"2565/04/06 10:58:17 ก่อนเที่ยง GMT+7","ก๋วยเตี๋ยวเป็ด","Duck Noodle Soup","9_Carbohydrates","7","เป็นอาหารที่อนร่อยมาก","","2022-04-05 12:33","","70"
"2565/04/06 11:01:23 ก่อนเที่ยง GMT+7","ไก่KFC","KFC ","10_FAT","10","ไก่ผู้พันธ์อร่อยจัด","","2022-04-03 06:30","","50"
"2565/04/06 11:04:36 ก่อนเที่ยง GMT+7","ข้าวผัดปู","Crab meat fried rice","9_Carbohydrates","9","อร่อยจริง กินได้","","2022-04-04 11:45","","75"
"2565/04/06 7:52:20 หลังเที่ยง GMT+7","ยำไข่ดาว","Spicy Fried Eggs Salad","4_Meat and Poultry","9","อร่อยจนกินไม่หมด","","2022-04-06 19:27","","35"
